feature,development/fold_01,development/fold_02,development/fold_03,final_test/fold_01,final_test/fold_02,final_test/fold_03,final_test/fold_04,final_test/fold_05,final_test/fold_06
ff_reins_fin_inc,True,True,True,True,True,True,True,True,True
ff_reins_rev,True,True,True,True,True,True,True,True,True
ff_rent_inc,True,True,True,True,True,True,True,True,True
ff_reorg_restruct_exp,True,True,True,True,True,True,True,True,True
ff_restruct_debt,True,True,True,True,True,True,True,True,True
ff_roea,True,True,True,True,True,True,True,True,True
ff_rsrv_appr_oth,True,True,True,True,True,True,True,True,True
ff_rsrv_chg,True,True,True,True,False,False,False,False,False
ff_rsrv_unappr,True,True,True,True,True,True,True,True,True
ff_sale_ppe_cf,True,True,True,True,True,True,True,True,True
ff_sales_fix_assets,True,True,True,True,True,True,True,True,True
ff_sales_inven_turn,True,True,True,True,True,True,True,True,True
ff_sales_uncon,True,True,True,True,True,True,True,True,True
ff_sales_wkcap,True,True,True,True,True,True,True,True,True
ff_secs_custody,True,True,True,True,True,True,True,True,True
ff_secs_gain,False,False,False,False,False,False,True,True,True
ff_sell_exp,True,True,True,True,True,True,True,True,True
ff_sga,True,True,True,True,True,True,True,True,True
ff_sga_oth,True,True,True,True,True,True,True,True,True
ff_sga_sales,True,True,True,True,True,True,True,True,True
ff_shs_repurch_auth_shs,True,True,True,True,True,True,True,True,True
ff_shs_repurch_auth_val,True,True,True,True,True,True,True,True,True
ff_shs_repurch_total_shs,True,True,False,False,False,False,False,False,False
ff_shs_repurch_total_val,True,True,False,False,False,False,False,False,False
ff_spec_items,True,True,True,True,True,True,True,True,True
ff_stk_opt_cf,True,True,True,True,True,True,True,True,True
ff_stk_opt_exp,True,True,True,True,True,True,True,True,True
ff_tax_cf,True,True,True,True,True,True,True,True,True
ff_tax_chg_eff,True,True,True,True,True,True,True,True,True
ff_tax_non_inc,True,True,True,True,True,True,True,True,True
ff_tcap_deps,True,True,True,True,True,True,True,True,True
ff_tier1_cap,True,True,True,True,True,True,True,True,True
ff_tier2_cap,True,True,True,True,True,True,True,True,True
ff_trade_acct,True,True,True,True,True,True,True,True,True
ff_trade_inc,True,True,True,True,True,True,True,True,True
ff_trade_inc_net,True,True,True,True,True,True,True,True,True
ff_trust_inc,True,True,True,True,True,True,True,True,True
ff_turn_rate,True,True,True,True,True,True,True,True,True
ff_underwriting_exp,True,True,True,True,True,True,True,True,True
ff_unearn_prem_tcap,True,True,True,True,True,True,True,True,True
